Word,Count
0,3
enjoying,5
a,654
beautiful,4
day,16
at,51
the,831
park!,1
positive,48
15-01-2023,6
12:30,12
user123,1
twitter,243
#nature,4
#park,1
15,213
30,153
usa,188
2023,289
1,111
12,146
traffic,1
was,2
terrible,1
this,8
morning.,3
negative,4
08:45,8
commuterx,1
#traffic,1
#morning,1
5,99
10,166
canada,135
8,149
2,115
just,9
finished,2
an,51
amazing,1
workout!,1
💪,3
15:45,13
fitnessfan,1
instagram,259
#fitness,2
#workout,1
20,179
40,80
3,70
excited,2
about,16
upcoming,10
weekend,5
getaway!,1
18:20,21
adventurex,1
facebook,231
#travel,2
#adventure,5
uk,143
18,212
4,58
trying,7
out,11
new,43
recipe,3
for,99
dinner,2
tonight.,2
neutral,18
19:55,2
chefcook,1
#cooking,3
#food,1
25,123
australia,75
19,100
feeling,26
grateful,6
little,1
things,1
in,299
life.,7
16-01-2023,3
09:10,1
gratitudenow,1
#gratitude,13
#positivevibes,2
50,77
india,70
16,93
9,115
6,84
rainy,1
days,2
call,1
cozy,4
blankets,1
and,111
hot,1
cocoa.,1
14:45,25
rainydays,1
#rainydays,2
#cozy,1
14,124
7,89
movie,5
release,3
is,32
must-watch!,1
19:30,30
moviebuff,2
#movienight,2
#mustwatch,1
political,1
discussions,2
heating,1
up,12
on,91
timeline.,1
17-01-2023,3
08:00,4
debatetalk,1
#politics,1
#debate,1
60,57
17,72
missing,4
summer,2
vibes,5
beach,1
days.,1
12:20,3
beachlover,1
#summer,1
#beachdays,1
35,120
published,1
blog,3
post.,1
check,1
it,3
out!,1
15:15,10
bloggerx,1
#blogging,1
#newpost,1
22,181
45,96
11,100
bit,2
under,7
weather,3
today.,1
18-01-2023,3
10:30,7
wellnesscheck,1
#sickday,1
#health,1
exploring,17
city's,1
hidden,6
gems.,1
14:50,4
urbanexplorer,1
#cityexplore,1
#hiddengems,1
13,44
"year,",1
fitness,5
goals!,1
18:00,10
fitjourney,1
#newyear,1
#fitnessgoals,3
28,126
55,52
technology,2
changing,1
way,2
we,1
live.,1
19-01-2023,3
09:45,9
techenthusiast,1
#tech,1
#innovation,1
reflecting,9
past,5
looking,1
ahead.,3
13:20,3
reflections,1
#reflection,6
#future,1
adopted,1
cute,2
furry,1
friend!,1
🐾,2
17:10,4
petadopter,1
#petadoption,1
#furryfriend,1
late-night,1
gaming,4
session,1
with,110
friends.,7
20-01-2023,3
00:05,1
gamerx,1
#gaming,2
#latenight,1
attending,9
virtual,4
conference,1
ai.,1
11:30,22
techconference,1
#ai,1
#techconference,1
winter,9
blues,1
got,4
me,12
low.,1
winterblues,1
#winterblues,1
#mood,1
sipping,2
coffee,2
good,6
book.,4
21-01-2023,3
08:40,1
bookworm,3
#reading,2
#coffeetime,1
21,63
world,12
of,624
reality.,2
vrexplorer,1
#vr,1
#virtualreality,2
productive,2
ticking,1
off,2
my,41
to-do,1
list.,1
16:45,14
productivitypro,1
#productivity,1
#workfromhome,1
23,31
challenging,13
workout,2
routine.,2
22-01-2023,4
09:15,2
fitnesswarrior,1
#challengeaccepted,1
24,27
celebrating,6
milestone,3
work!,1
🎉,1
14:30,15
careermilestone,1
#career,1
#milestone,3
sunday,2
brunch,1
12:00,6
brunchbuddy,1
#brunch,1
#friends,1
27,16
learning,9
language,1
personal,15
growth.,3
23-01-2023,2
16:20,11
languagelearner,1
#languagelearning,2
#personalgrowth,3
29,13
quiet,10
evening,6
19:45,25
booklover,1
#quiettime,1
importance,1
mental,1
health.,1
24-01-2023,3
mentalhealthmatters,1
#mentalhealth,1
#selfcare,1
31,8
painting,9
progress!,1
🎨,1
15:00,9
artistinaction,1
#art,2
#paintinginprogress,1
32,10
road,4
trip,3
to,133
explore,5
scenic,2
views.,1
17:30,23
roadtripper,1
#roadtrip,2
#scenicviews,1
33,3
cup,8
tea,1
watching,3
sunset.,3
25-01-2023,2
sunsetwatcher,2
#teatime,1
#sunset,1
34,6
coding,3
project,8
enthusiasm.,3
13:15,7
codeenthusiast,1
#coding,1
#enthusiasm,8
inspired,7
after,24
workshop.,1
26-01-2023,3
workshopattendee,1
#inspiration,7
#workshop,1
26,20
36,18
sports,3
local,9
park.,1
14:20,24
wintersports,1
#wintersports,1
#fun,1
37,5
quality,1
time,4
family,9
weekend.,4
17:40,1
familytime,1
#familytime,2
#weekend,1
38,9
live,4
music,8
concert,4
27-01-2023,3
20:00,11
musiclover,2
#music,1
#concertnight,1
39,8
practicing,3
mindfulness,3
meditation.,1
mindfulmoments,1
#mindfulness,3
#meditation,2
dessert,1
recipe.,1
16:10,2
dessertexplorer,1
#dessert,1
41,4
tournament.,1
28-01-2023,5
09:00,4
gamingenthusiast,2
#tournament,1
42,11
planning,4
garden,14
makeover,1
spring.,1
gardenplanner,1
#gardening,1
#spring,1
43,8
friend's,2
birthday,6
tonight!,1
🎂,1
birthdaybash,1
#birthday,1
#celebration,3
44,12
accomplished,1
day.,6
29-01-2023,2
17:00,9
productivitywin,1
#accomplished,1
#success,3
movie.,3
20:20,6
movienight,1
#cozynight,1
#movietime,1
46,8
art,17
galleries,1
30-01-2023,3
artexplorer,2
#galleryexplore,1
47,3
book,7
from,21
favorite,4
author!,1
bookwormx,1
#bookrelease,1
#favoriteauthor,1
48,11
reality,1
meetup.,1
18:30,17
vrmeetup,1
#vrmeetup,1
49,3
beauty,21
nature.,3
31-01-2023,3
10:45,4
naturelover,1
cooking,3
special,2
loved,7
ones.,3
19:00,13
chefathome,1
#specialdinner,1
51,3
optimistic,1
week,1
optimisticmindset,1
#optimism,3
#newweek,1
52,4
starting,1
challenge,2
tomorrow!,1
01-02-2023,2
fitnesschallenge,1
#fitnesschallenge,1
#newbeginnings,2
53,2
bike,1
ride,3
through,51
trails.,1
13:30,5
bikeexplorer,1
#bikeride,1
#scenictrails,1
can't,1
believe,1
injustice,2
happening,1
our,5
society.,2
anger,3
11-02-2023,2
09:30,9
socialjustice,1
#injustice,4
#angry,1
54,1
56,2
sense,15
fear,5
thriller,1
21:15,14
thrillerfan,1
#fear,3
#thrillermovie,1
57,2
heartbroken,1
hearing,1
news,1
natural,1
disaster.,1
sadness,4
12-02-2023,3
empathyfirst,1
#sadness,2
#naturaldisaster,1
58,2
state,5
world's,1
environment,1
disgusting.,2
disgust,7
ecoawareness,1
#disgust,4
#environment,1
59,2
pure,2
happiness:,2
one's,1
achievement!,1
happiness,7
13-02-2023,2
10:00,12
proudfriend,1
#happiness,5
laughter,19
best,4
medicine—enjoying,1
comedy,4
show.,3
joy,57
comedyfan,1
#joy,8
#comedyshow,1
61,2
sharing,4
love,13
everyone!,1
❤️,2
14-02-2023,3
08:30,6
lovespreader,1
#love,4
#spreadlove,2
62,2
amusing,1
incident,1
brightened,1
day!,3
amusement,3
amusedsoul,1
#amusement,3
#funtimes,1
63,2
some,2
tea.,3
enjoyment,2
bookloveragain,1
#enjoyment,2
#booktime,3
64,2
admiring,2
nature,8
during,18
peaceful,4
hike.,1
admiration,6
15-02-2023,4
natureadmirer,3
#admiration,4
65,2
sending,3
affectionate,2
all,4
followers!,1
affection,2
16:00,21
affectionsender,1
#affection,2
66,2
experiencing,9
awe,13
breathtaking,5
20:30,11
awestruck,1
#awe,9
#breathtaking,1
67,2
disappointed,4
service,2
restaurant.,1
16-02-2023,3
foodiegonewrong,1
#disappointed,2
#badservice,1
68,2
surprise,19
gift,1
friend,4
made,2
happysurprise,1
#surprise,4
#gift,1
69,2
finding,12
acceptance,15
midst,7
life's,15
challenges.,3
acceptanceseeker,1
#acceptance,8
#challenges,2
70,43
overflowing,6
adoration,4
adorable,1
pet!,1
17-02-2023,3
petadorer,1
#adoration,2
#petlove,2
71,2
anticipating,4
thrilling,4
adventure,8
coming,1
weeks.,1
anticipation,4
07:30,3
adventureawaits,2
#anticipation,3
72,2
bitter,9
experience,2
turned,1
into,24
valuable,1
lesson.,1
learnfrombitter,1
#bitterlesson,1
#growth,1
73,2
calmness,8
busy,1
18-02-2023,3
zenmaster,1
#calmness,4
#peacefulmind,1
74,2
confusion,14
clouds,6
mind,5
as,41
i,9
navigate,3
decisions.,2
confusedmind,1
#confusion,8
#decisionmaking,1
75,2
excitement,49
building,5
vacation!,1
18:45,11
vacationdreamer,2
#excitement,13
#travelplans,1
76,2
kindness,9
witnessed,4
today,2
restored,1
faith,2
humanity.,2
kind,3
19-02-2023,3
kindnessprevails,1
#kindness,4
#humanity,1
77,2
pride,12
achieving,5
milestone.,3
personalachiever,1
#pride,6
78,2
moment,12
shame,6
not,7
standing,5
against,9
injustice.,2
reflectiveself,1
#shame,3
79,2
fuming,1
heated,2
argument.,1
20-02-2023,2
angrydebater,1
#anger,1
#argument,1
80,18
unknown,2
keeping,1
night.,7
fearfuldreamer,1
#unknown,1
81,2
heartfelt,5
bidding,2
farewell,2
dear,2
friend.,4
21-02-2023,2
farewellheart,1
#farewell,2
82,2
corruption,2
society,1
utterly,1
anticorruption,1
#corruption,2
83,2
welcoming,1
member!,1
22-02-2023,3
newparentjoy,1
#newfamilymember,1
84,2
key,2
joy—attending,1
stand-up,2
standupfan,1
#standupcomedy,2
85,2
followers,1
23-02-2023,3
lovesender,1
86,2
amused,2
by,69
antics,2
pet—it's,1
amusement!,1
petamuser,1
#petantics,1
87,2
every,19
trip—pure,1
enjoyment!,1
travelexplorer,1
88,2
dedication,2
volunteers,1
charity.,2
24-02-2023,3
charityadmirer,1
#volunteers,1
89,2
friends,6
family.,2
familylover,1
#familylove,1
90,2
awe-struck,3
night,10
sky.,7
stargazer,3
#starrynight,2
91,2
lack,1
progress,1
project.,7
25-02-2023,3
projectstruggle,1
#project,1
92,2
visit,1
old,13
brought,2
tears,10
joy.,6
joyfulreunion,2
#oldfriends,3
93,2
embracing,13
ups,1
downs.,1
lifeacceptance,1
#lifejourney,2
94,2
rescue,1
puppy!,1
🐶,1
26-02-2023,3
puppyadmirer,1
#puppylove,1
95,2
much-awaited,2
moviebuff2,1
#movierelease,1
96,2
customer,1
department.,1
customerwoes,1
#bitterexperience,1
#customerservice,1
97,2
amidst,5
chaos,2
daily,2
27-02-2023,3
calmsoul,1
#innerpeace,2
98,2
reigns,1
try,1
make,2
recent,1
events.,2
confusedmind2,1
#makingsense,1
99,2
party.,2
birthdayexcite,1
#surpriseparty,2
100,2
act,2
that,37
28-02-2023,5
kindnessobserver,1
#actsofkindness,1
101,2
completing,7
challenge.,2
fitachiever,1
#fitnesschallengecompleted,1
102,2
speaking,2
reflectiveself2,1
103,2
diversity,2
world.,6
01-03-2023,3
diversitylover,1
#diversity,1
104,2
bookwormjoy,1
105,2
unfairness,1
workplace.,1
17:45,6
workplacewoes,1
#bitter,1
#unfairness,1
106,2
prevails,1
practice,1
mindfulness.,1
02-03-2023,3
mindfulme,1
107,2
surrounds,1
choices.,1
confusedmind3,1
#lifechoices,1
108,2
places.,1
roadtripper2,1
#weekendadventure,1
109,2
restores,1
03-03-2023,3
kindnessprevails2,1
#humanityrestored,1
110,2
accomplishing,1
professional,1
goals.,1
goalachiever,1
#accomplishments,1
111,2
being,1
TRUE,2
values,1
difficult,1
situation.,1
reflectiveself3,1
#integrity,1
112,2
revisiting,3
"memories,",2
elation.,1
elation,13
15-05-2010,1
15:30,13
nostalgiafan,1
#elation,7
#memories,2
2010,3
113,2
victory,5
team,5
euphoria,13
city.,4
10-08-2021,2
sportsfanatic,1
#euphoria,7
#victory,1
2021,63
114,2
"nature,",3
contentment.,1
contentment,24
20-06-2011,1
naturelover2,1
#contentment,10
2011,4
115,2
meditating,1
serene,8
"lake,",1
inner,6
peace.,2
serenity,28
12-02-2022,1
zenmaster2,1
#serenity,15
2022,63
116,2
gratitude,28
blessings.,1
25-11-2012,1
thankfulheart,1
#blessed,2
2012,4
117,2
hopeful,21
brighter,6
"tomorrow,",3
despite,2
hope,12
05-04-2013,1
optimisticsoul,1
#hope,5
2013,4
118,2
empowered,2
difference,1
community.,3
empowerment,8
14-09-2014,1
communityleader,1
#empowerment,5
#community,1
2014,4
119,2
compassion,11
action:,1
supporting,2
charity,4
event.,1
18-07-2015,1
charitysupporter,1
#compassion,4
#charityevent,1
2015,19
120,2
"tenderness,",1
connecting,3
tenderness,7
23-02-2016,1
lovingheart,1
#tenderness,4
2016,38
121,2
arousal,8
await,1
announcement.,1
30-10-2017,1
excitementfan,1
#arousal,4
2017,43
122,2
enthusiastically,1
diving,2
enthusiasm,11
15-06-2018,2
projectenthusiast,1
#newproject,1
2018,56
123,2
fulfillment,8
reaching,3
28-03-2019,2
milestoneachiever,1
#fulfillment,4
2019,73
124,2
reverence,8
historic,3
landmark.,2
11-11-2019,1
historylover,1
#reverence,4
#history,1
125,2
reunion,3
02-04-2020,4
joyfulreunion2,1
2020,69
126,2
stars.,1
19-06-2021,1
musicenthusiast,1
#livemusic,1
127,2
simplicity,2
sunday.,1
15-08-2010,1
simplejoys,1
#sundaymood,1
128,2
found,7
pages,7
22-09-2011,1
booklover3,1
129,2
support,3
received,4
tough,1
times.,2
10-03-2012,1
supportivefriend,1
#supportive,1
130,2
possibilities,1
journey.,1
05-12-2013,1
journeyoptimist,1
131,2
20-07-2014,1
growthseeker,2
132,2
towards,7
those,1
need,1
holidays.,1
22-12-2015,1
holidayhelper,1
#holidaysupport,1
133,2
warmth,9
evening.,4
10-02-2016,2
winterwarmth,3
#cozyevening,1
134,2
adventure.,2
30-04-2017,1
#adventuretime,1
135,2
creative,3
making.,2
15-09-2018,1
creativespirit,1
#creativity,4
136,2
28-06-2019,2
fitnessachiever,2
137,2
artistry,1
displayed,1
museum.,1
11-11-2020,1
artappreciator,1
#artappreciation,1
138,2
goal.,1
02-03-2021,2
goalachiever2,1
#personalachievement,1
139,2
over,12
discovering,5
gem,3
18-02-2012,1
urbanexplorer2,1
#hiddengem,2
140,2
celebration.,2
05-11-2018,1
21:45,7
birthdayjoy,1
#birthdaysurprise,1
141,2
home-cooked,2
meal.,2
12-09-2015,1
homechef,2
#homecooking,2
142,2
melody,5
piano.,1
30-07-2016,1
18:10,3
musiclover4,1
#peacefulmelody,1
143,2
supportive,2
community,7
around,3
me.,1
20-04-2013,1
communitylove,1
#communitysupport,1
144,2
prospects,1
business,1
venture.,1
08-12-2017,1
19:15,5
entrepreneurhope,1
#businessventure,1
145,2
mentoring,1
guiding,2
others.,3
03-06-2014,1
08:20,1
mentorempower,1
#mentorship,1
146,2
shown,1
acts,3
15-01-2019,1
kindnessinaction,1
#communitykindness,1
147,2
message,1
one.,2
25-12-2016,1
loveexpress,1
#lovenote,1
148,2
before,2
trip.,1
10-03-2018,1
travelexcitement,1
#traveladventure,1
149,2
artistic,2
works.,1
17-09-2020,1
16:30,14
artisticspirit,1
#artisticproject,1
150,2
helping,1
28-08-2011,1
helperheart,1
#helpingothers,1
151,2
historical,5
significance,1
01-11-2017,1
historybuff,1
#historicalsite,1
152,2
15-06-2019,1
fitnessachiever2,1
#fitnessmilestone,1
153,2
successful,1
product,1
launch.,1
03-04-2022,2
11:45,6
productlaunchjoy,1
#productlaunchsuccess,1
154,2
embrace,6
12-11-2010,1
lovingembrace,1
155,2
sunset,5
sea.,1
22-07-2011,1
sunsetwatcher2,1
#sunsetviews,1
156,2
small,1
joys,4
each,39
brings.,1
30-03-2012,1
11:20,1
joyfulheart2,1
#smalljoys,1
157,2
potential,1
05-10-2013,1
16:40,1
growthoptimist,1
#personaldevelopment,1
158,2
skill.,2
10-07-2014,1
skillempower,1
#skillbuilding,2
159,2
volunteering,2
18-12-2015,2
charityvolunteer,1
#volunteerwork,1
160,2
shared,6
pet.,1
petlove,1
161,2
festival.,2
25-09-2017,1
festivalfan,1
#festivalexcitement,1
162,2
diy,3
home,3
improvement,1
15-04-2018,1
diyenthusiast,2
#homeimprovement,1
163,2
puzzle.,1
28-11-2019,2
puzzlemaster,1
#puzzlechallenge,1
164,2
wonders,3
hiking,4
trail.,2
11-05-2020,1
#natureexploration,1
165,2
childhood,4
05-02-2021,1
childhoodjoy,1
#friendshipreunion,1
166,2
suffering,2
despair,16
another,3
setback.,2
10-03-2021,1
strugglingsoul,1
#despair,11
#struggle,1
167,2
overwhelmed,10
"grief,",5
one,2
dearly.,1
grief,11
05-07-2022,1
mourningheart,1
#grief,9
#loss,3
168,2
loneliness,14
creeps,1
grows,2
colder.,1
18-11-2019,3
21:20,2
solitarysoul,1
#loneliness,9
#isolation,3
169,2
jealousy,6
consumes,1
witness,2
others',5
success.,6
12-08-2020,1
enviousobserver,1
#jealousy,3
#envy,3
170,2
resentment,8
betrayals.,1
22-05-2018,2
bitterheart,1
#resentment,4
#bitterness,6
171,2
frustration,11
mounts,1
obstacles,1
block,1
path.,1
30-01-2017,1
blockedgoals,1
#frustration,4
#obstacles,1
172,2
boredom,7
sets,3
"in,",1
feels,2
endlessly,1
dull.,1
28-09-2016,1
boredmind,1
#boredom,3
#lackofinterest,1
173,2
anxiety,5
grips,2
"heart,",4
worry,1
thoughts.,3
15-04-2019,1
worriedmind,1
#anxiety,2
#worry,1
174,2
intimidation,4
future,2
03-12-2021,1
fearfulsoul,1
#intimidation,2
175,2
helplessness,4
sinks,1
challenges,11
pile,1
up.,1
20-06-2020,1
overwhelmedheart,1
#helplessness,2
#overwhelmed,5
176,2
envy,4
eats,1
away,3
see,1
prosperity.,1
07-11-2018,1
covetousmind,1
#desire,1
177,2
regret,8
missed,2
opportunities,1
haunts,1
25-08-2017,1
remorsefulsoul,1
#regret,6
#missedchances,2
178,2
sight,1
cruelty.,1
11-02-2019,1
disgustedheart,1
179,2
drowning,5
"despair,",6
slipping,3
fingers.,1
02-04-2016,1
hopelessheart,1
#hopeless,1
180,2
weighs,1
"heavy,",1
constant,6
companion.,4
18-10-2015,1
tearfulsoul,1
#tears,1
181,2
crowded,1
"room,",1
silent,10
cry,1
connection.,4
12-07-2019,1
isolatedmind,1
#seekingconnection,1
182,2
gnaws,1
"confidence,",2
toxic,1
emotion.,2
03-06-2018,1
selfdoubt,1
#insecurity,1
183,2
"festers,",2
poisoning,4
relationships.,1
15-01-2022,3
brokentrust,2
#brokentrust,1
184,2
boils,1
"over,",4
volcanic,1
eruption,1
emotions.,4
10-04-2017,2
explosivemind,1
#emotionaloutburst,2
185,2
settles,2
like,27
"dust,",1
life,9
mundane.,1
28-11-2016,2
mundaneheart,1
#monotony,1
186,2
"chest,",1
relentless,1
grip,1
05-09-2018,2
restlessmind,1
#restlessness,1
187,2
"ahead,",2
takes,1
hold.,1
22-10-2021,1
fearfuljourney,1
#facingfear,1
188,2
engulfs,2
"me,",2
sea,5
problems.,1
08-05-2019,1
overwhelmedsoul,1
#struggling,1
189,2
poisons,2
"thoughts,",6
coveting,1
20-03-2017,1
greeneyedmonster,1
190,2
decisions,3
led,1
painful,4
present.,1
15-12-2018,3
regretfulmind,1
#pastchoices,1
191,2
stains,1
01-07-2016,1
corruptedheart,1
192,2
sinking,4
darker,1
than,4
last.,1
20-08-2020,1
drowningsoul,1
#darkdays,1
193,2
"overwhelms,",1
storm,5
emotions,9
within.,2
25-02-2021,1
stormyheart,1
#emotionalstorm,2
194,2
echoes,15
empty,2
"spaces,",1
yearning,5
12-09-2019,1
echoingsoul,1
#yearningforconnection,1
195,2
brewing,1
05-08-2018,2
poisonedmind,1
196,2
wound,1
refuses,2
heal.,1
12-01-2017,1
unforgivingsoul,1
#unforgiving,1
197,2
"escalates,",1
thunderstorm,1
05-04-2022,1
thunderingmind,1
198,2
"lingers,",3
stagnant,1
pool,1
indifference.,4
02-10-2021,1
stagnantheart,1
#stagnation,1
199,2
embarking,9
journey,18
"discovery,",1
fueled,6
curiosity,22
thirst,1
knowledge.,4
15-04-2023,1
10:15,3
inquisitivemind,1
#curiosity,10
#learning,1
200,2
lost,17
vast,4
"information,",1
indifferent,3
wave,3
digital,2
ocean.,1
indifference,6
28-11-2022,1
apatheticobserver,1
#indifference,5
#digitaloverload,1
201,2
complex,1
puzzle,4
leaves,6
perpetual,2
"confusion,",2
seeking,3
answers,1
chaos.,2
seekingclarity,1
#lifepuzzle,1
202,2
numbness,9
shield,6
overwhelming,1
throws,2
way.,1
14:00,12
emotionallydistant,1
#numbness,6
#emotionalshield,2
203,2
gazing,2
"sunset,",2
melancholic,3
longing,1
moments,9
slip,1
fingers,3
time.,9
melancholy,10
18-06-2019,1
20:45,15
sunsetdreamer,1
#melancholy,6
#sunsetmoments,1
204,2
"photographs,",1
caught,6
nostalgia's,1
bittersweet,6
symphony.,2
nostalgia,19
05-02-2018,1
memorylanetraveler,1
#nostalgia,11
#memorylane,2
205,2
torn,4
between,6
conflicting,4
"emotions,",3
ambivalence,11
paints,4
shades,2
uncertainty.,2
30-05-2022,1
mixedfeelings,1
#ambivalence,6
#uncertainchoices,1
206,2
ebb,1
flow,3
"life,",6
dance,15
existence.,1
10-01-2023,2
zenlifestyle,1
207,2
facing,3
"head-on,",1
determination,13
fuels,1
fire,1
within,5
achieve,2
impossible.,1
18-09-2020,2
13:45,9
resilientspirit,1
#determination,7
#achievetheimpossible,1
208,2
stillness,2
tranquil,7
retreat,2
modern,1
03-07-2021,1
naturesoul,1
#natureretreat,1
209,2
leading,2
down,4
rabbit,2
hole,1
"knowledge,",1
student,1
classroom.,1
08-10-2022,1
08:15,3
eternallearner,1
#knowledgequest,1
210,2
floating,4
air,5
"indifference,",2
detached,1
mundane,1
happenings,1
around.,1
22-03-2023,1
aloofobserver,1
#floatingthroughlife,1
211,2
entangled,1
web,3
reigning,1
labyrinth,9
ideas.,2
15-05-2021,1
thoughtexplorer,1
#thoughtlabyrinth,2
212,2
numb,1
"chaos,",1
locked,2
"away,",1
stoic,2
facade,1
concealing,1
turmoil.,1
28-12-2019,1
stoicsoul,1
#stoicfacade,1
213,2
whispers,16
"breeze,",2
conversation,2
forgotten,4
dreams.,5
01-03-2020,1
dreamerinsilence,1
#whispersinthebreeze,1
214,2
stumbling,1
upon,2
"journal,",2
flooding,1
"waves,",1
carrying,3
long,1
gone.,1
10-07-2018,2
journalkeeper,1
#journalmoments,1
215,2
tapestry,5
"feelings,",1
weaving,4
"uncertainty,",3
threads,7
